52af3a7c3cf9994f4e043bed,Cantonese Restaurant,schema:Restaurant
58daa1558bbb0b01f18ec1d3,Cha Chaan Teng,schema:Restaurant
52af3a673cf9994f4e043beb,Chinese Aristocrat Restaurant,schema:Restaurant
52af3a903cf9994f4e043bee,Chinese Breakfast Place,schema:FoodEstablishment
4bf58dd8d48988d1f5931735,Dim Sum Restaurant,schema:Restaurant
52af3a9f3cf9994f4e043bef,Dongbei Restaurant,schema:Restaurant
52af3aaa3cf9994f4e043bf0,Fujian Restaurant,schema:Restaurant
52af3ab53cf9994f4e043bf1,Guizhou Restaurant,schema:Restaurant
52af3abe3cf9994f4e043bf2,Hainan Restaurant,schema:Restaurant
52af3ac83cf9994f4e043bf3,Hakka Restaurant,schema:Restaurant
52af3ad23cf9994f4e043bf4,Henan Restaurant,schema:Restaurant
52af3add3cf9994f4e043bf5,Hong Kong Restaurant,schema:Restaurant
52af3af23cf9994f4e043bf7,Huaiyang Restaurant,schema:Restaurant
52af3ae63cf9994f4e043bf6,Hubei Restaurant,schema:Restaurant
52af3afc3cf9994f4e043bf8,Hunan Restaurant,schema:Restaurant
52af3b053cf9994f4e043bf9,Imperial Restaurant,schema:Restaurant
52af3b213cf9994f4e043bfa,Jiangsu Restaurant,schema:Restaurant
52af3b293cf9994f4e043bfb,Jiangxi Restaurant,schema:Restaurant
52af3b343cf9994f4e043bfc,Macanese Restaurant,schema:Restaurant
52af3b3b3cf9994f4e043bfd,Manchu Restaurant,schema:Restaurant
52af3b463cf9994f4e043bfe,Peking Duck Restaurant,schema:Restaurant
52af3b633cf9994f4e043c01,Shaanxi Restaurant,schema:Restaurant
52af3b513cf9994f4e043bff,Shandong Restaurant,schema:Restaurant
52af3b593cf9994f4e043c00,Shanghai Restaurant,schema:Restaurant
52af3b6e3cf9994f4e043c02,Shanxi Restaurant,schema:Restaurant
52af3b773cf9994f4e043c03,Szechuan Restaurant,schema:Restaurant
52af3b813cf9994f4e043c04,Taiwanese Restaurant,schema:Restaurant
52af3b893cf9994f4e043c05,Tianjin Restaurant,schema:Restaurant
52af3b913cf9994f4e043c06,Xinjiang Restaurant,schema:Restaurant
52af3b9a3cf9994f4e043c07,Yunnan Restaurant,schema:Restaurant
52af3ba23cf9994f4e043c08,Zhejiang Restaurant,schema:Restaurant
4eb1bd1c3b7b55596b4a748f,Filipino Restaurant,schema:Restaurant
52e81612bcbc57f1066b79fb,Himalayan Restaurant,schema:Restaurant
52af0bd33cf9994f4e043bdd,Hotpot Restaurant,schema:Restaurant
4deefc054765f83613cdba6f,Indonesian Restaurant,schema:Restaurant
52960eda3cf9994f4e043ac9,Acehnese Restaurant,schema:Restaurant
52960eda3cf9994f4e043acb,Balinese Restaurant,schema:Restaurant
52960eda3cf9994f4e043aca,Betawinese Restaurant,schema:Restaurant
52960eda3cf9994f4e043acc,Indonesian Meatball Place,schema:FoodEstablishment
52960eda3cf9994f4e043ac7,Javanese Restaurant,schema:Restaurant
52960eda3cf9994f4e043ac8,Manadonese Restaurant,schema:Restaurant
52960eda3cf9994f4e043ac5,Padangnese Restaurant,schema:Restaurant
52960eda3cf9994f4e043ac6,Sundanese Restaurant,schema:Restaurant
4bf58dd8d48988d111941735,Japanese Restaurant,schema:Restaurant
55a59bace4b013909087cb0c,Donburi Restaurant,schema:Restaurant
55a59bace4b013909087cb30,Japanese Curry Restaurant,schema:Restaurant
55a59bace4b013909087cb21,Kaiseki Restaurant,schema:Restaurant
55a59bace4b013909087cb06,Kushikatsu Restaurant,schema:Restaurant
55a59bace4b013909087cb1b,Monjayaki Restaurant,schema:Restaurant
55a59bace4b013909087cb1e,Nabe Restaurant,schema:Restaurant
55a59bace4b013909087cb18,Okonomiyaki Restaurant,schema:Restaurant
55a59bace4b013909087cb24,Ramen Restaurant,schema:Restaurant
55a59bace4b013909087cb15,Shabu-Shabu Restaurant,schema:Restaurant
55a59bace4b013909087cb27,Soba Restaurant,schema:Restaurant
55a59bace4b013909087cb12,Sukiyaki Restaurant,schema:Restaurant
4bf58dd8d48988d1d2941735,Sushi Restaurant,schema:Restaurant
55a59bace4b013909087cb2d,Takoyaki Place,schema:FoodEstablishment
55a59a31e4b013909087cb00,Tempura Restaurant,schema:Restaurant
55a59af1e4b013909087cb03,Tonkatsu Restaurant,schema:Restaurant
55a59bace4b013909087cb2a,Udon Restaurant,schema:Restaurant
55a59bace4b013909087cb0f,Unagi Restaurant,schema:Restaurant
55a59bace4b013909087cb33,Wagashi Place,schema:FoodEstablishment
55a59bace4b013909087cb09,Yakitori Restaurant,schema:Restaurant
55a59bace4b013909087cb36,Yoshoku Restaurant,schema:Restaurant
4bf58dd8d48988d113941735,Korean Restaurant,schema:Restaurant
56aa371be4b08b9a8d5734e4,Bossam/Jokbal Restaurant,schema:Restaurant
56aa371be4b08b9a8d5734f0,Bunsik Restaurant,schema:Restaurant
56aa371be4b08b9a8d5734e7,Gukbap Restaurant,schema:Restaurant
56aa371be4b08b9a8d5734ed,Janguh Restaurant,schema:Restaurant
56aa371be4b08b9a8d5734ea,Samgyetang Restaurant,schema:Restaurant
4bf58dd8d48988d156941735,Malay Restaurant,schema:Restaurant
5ae9595eb77c77002c2f9f26,Mamak Restaurant,schema:Restaurant
4eb1d5724b900d56c88a45fe,Mongolian Restaurant,schema:Restaurant
4bf58dd8d48988d1d1941735,Noodle House,schema:Restaurant
56aa371be4b08b9a8d57350e,Satay Restaurant,schema:Restaurant
4bf58dd8d48988d149941735,Thai Restaurant,schema:Restaurant
56aa371be4b08b9a8d573502,Som Tum Restaurant,schema:Restaurant
52af39fb3cf9994f4e043be9,Tibetan Restaurant,schema:Restaurant
4bf58dd8d48988d14a941735,Vietnamese Restaurant,schema:Restaurant
4bf58dd8d48988d169941735,Australian Restaurant,schema:Restaurant
52e81612bcbc57f1066b7a01,Austrian Restaurant,schema:Restaurant
4bf58dd8d48988d1df931735,BBQ Joint,schema:Restaurant
4bf58dd8d48988d179941735,Bagel Shop,schema:Bakery
4bf58dd8d48988d16a941735,Bakery,schema:Bakery
52e81612bcbc57f1066b7a02,Belgian Restaurant,schema:Restaurant
52e81612bcbc57f1066b79f1,Bistro,schema:FoodEstablishment
4bf58dd8d48988d143941735,Breakfast Spot,schema:FoodEstablishment
52e81612bcbc57f1066b7a0c,Bubble Tea Shop,schema:FoodEstablishment
52e81612bcbc57f1066b79f4,Buffet,schema:FoodEstablishment
4bf58dd8d48988d16c941735,Burger Joint,schema:FoodEstablishment
4bf58dd8d48988d128941735,Cafeteria,schema:CafeOrCoffeeShop
4bf58dd8d48988d16d941735,Café,schema:CafeOrCoffeeShop
4bf58dd8d48988d17a941735,Cajun / Creole Restaurant,schema:Restaurant
4bf58dd8d48988d144941735,Caribbean Restaurant,schema:Restaurant
4bf58dd8d48988d154941735,Cuban Restaurant,schema:Restaurant
5293a7d53cf9994f4e043a45,Caucasian Restaurant,schema:Restaurant
4bf58dd8d48988d1e0931735,Coffee Shop,schema:CafeOrCoffeeShop
52e81612bcbc57f1066b7a00,Comfort Food Restaurant,schema:Restaurant
52e81612bcbc57f1066b79f2,Creperie,schema:FoodEstablishment
52f2ae52bcbc57f1066b8b81,Czech Restaurant,schema:Restaurant
4bf58dd8d48988d146941735,Deli / Bodega,schema:FoodEstablishment
4bf58dd8d48988d1d0941735,Dessert Shop,schema:FoodEstablishment
4bf58dd8d48988d1bc941735,Cupcake Shop,schema:FoodEstablishment
512e7cae91d4cbb4e5efe0af,Frozen Yogurt Shop,schema:FoodEstablishment
4bf58dd8d48988d1c9941735,Ice Cream Shop,schema:IceCreamShop
5744ccdfe4b0c0459246b4e2,Pastry Shop,schema:FoodEstablishment
52e81612bcbc57f1066b7a0a,Pie Shop,schema:FoodEstablishment
4bf58dd8d48988d147941735,Diner,schema:FoodEstablishment
4bf58dd8d48988d148941735,Donut Shop,schema:FoodEstablishment
4bf58dd8d48988d108941735,Dumpling Restaurant,schema:Restaurant
5744ccdfe4b0c0459246b4d0,Dutch Restaurant,schema:Restaurant
4bf58dd8d48988d109941735,Eastern European Restaurant,schema:Restaurant
52e928d0bcbc57f1066b7e97,Belarusian Restaurant,schema:Restaurant
58daa1558bbb0b01f18ec1ee,Bosnian Restaurant,schema:Restaurant
56aa371be4b08b9a8d5734f3,Bulgarian Restaurant,schema:Restaurant
52960bac3cf9994f4e043ac4,Romanian Restaurant,schema:Restaurant
52e928d0bcbc57f1066b7e98,Tatar Restaurant,schema:Restaurant
52e81612bcbc57f1066b7a05,English Restaurant,schema:Restaurant
4bf58dd8d48988d10b941735,Falafel Restaurant,schema:Restaurant
4bf58dd8d48988d16e941735,Fast Food Restaurant,schema:Restaurant
4edd64a0c7ddd24ca188df1a,Fish & Chips Shop,schema:FoodEstablishment
52e81612bcbc57f1066b7a09,Fondue Restaurant,schema:Restaurant
4bf58dd8d48988d120951735,Food Court,schema:FoodEstablishment
56aa371be4b08b9a8d57350b,Food Stand,schema:FoodEstablishment
4bf58dd8d48988d1cb941735,Food Truck,schema:FoodEstablishment
4bf58dd8d48988d10c941735,French Restaurant,schema:Restaurant
57558b36e4b065ecebd306b6,Alsatian Restaurant,schema:Restaurant
57558b36e4b065ecebd306b8,Auvergne Restaurant,schema:Restaurant
57558b36e4b065ecebd306bc,Basque Restaurant,schema:Restaurant
57558b36e4b065ecebd306b0,Brasserie,schema:Restaurant
57558b36e4b065ecebd306c5,Breton Restaurant,schema:Restaurant
57558b36e4b065ecebd306c0,Burgundian Restaurant,schema:Restaurant
57558b36e4b065ecebd306cb,Catalan Restaurant,schema:Restaurant
57558b36e4b065ecebd306ce,Ch'ti Restaurant,schema:Restaurant
57558b36e4b065ecebd306d1,Corsican Restaurant,schema:Restaurant
57558b36e4b065ecebd306b4,Estaminet,schema:FoodEstablishment
